age,gender,know_facebook,beliefs
43,Male,Nothing at all,0
29,Male,Not very much,1
61,Female,Not very much,0
25,Female,Nothing at all,1
54,Male,A fair amount,1
56,Female,Nothing at all,1
73,Female,A fair amount,0
64,Male,Not very much,1
54,Female,Not very much,0
34,Male,Nothing at all,0
28,Female,Not very much,0
54,Male,Not very much,1
29,Female,Not very much,0
50,Female,Nothing at all,0
55,Female,A great deal,0
56,Female,Nothing at all,1
21,Male,Nothing at all,1
20,In another way,Nothing at all,2
29,Male,A great deal,1
22,Female,A fair amount,0
22,Female,Not very much,0
42,Female,Nothing at all,1
16,Male,Nothing at all,1
61,Male,Not very much,0
20,Female,Nothing at all,0
24,Female,A great deal,2
73,Female,Nothing at all,0
18,Female,Nothing at all,0
68,Male,Nothing at all,1
44,Female,Not very much,1
68,Male,Not very much,0
22,Female,Nothing at all,5
58,Male,Nothing at all,1
37,Male,A fair amount,2
70,Male,Nothing at all,0
30,Female,Nothing at all,0
53,Female,Not very much,0
22,Male,A great deal,4
56,Female,Not very much,0
44,Female,Nothing at all,0
37,Male,A fair amount,1
59,Male,Nothing at all,1
29,Female,Not very much,0
22,Female,Not very much,1
32,Male,Not very much,0
51,Male,Nothing at all,0
44,Female,Not very much,0
20,Female,Nothing at all,0
50,Female,A fair amount,0
66,Male,Nothing at all,1
39,Male,Not very much,1
69,Male,A fair amount,0
38,Male,Nothing at all,0
31,Female,A fair amount,0
34,Female,A great deal,1
58,Male,Nothing at all,1
50,Female,Nothing at all,0
67,Female,Nothing at all,1
19,Male,Nothing at all,0
58,Female,Nothing at all,0
37,Male,A fair amount,1
73,Male,Not very much,0
62,Male,Nothing at all,0
37,Female,A fair amount,0
44,Female,A fair amount,3
54,Male,Nothing at all,0
71,Male,Nothing at all,0
55,Male,Nothing at all,0
16,Male,Nothing at all,4
24,Male,A great deal,2
46,Male,Nothing at all,0
27,Female,Not very much,0
54,Female,Not very much,1
59,Female,Nothing at all,0
19,Female,Nothing at all,0
22,Male,A fair amount,1
37,Female,A fair amount,5
56,Male,Nothing at all,0
